timestamp,pkg,input,threads,mode,run_idx,elapsed_s,task_clock_ms,cycles,instructions,branches,branch_misses,ctx_switches,migrations,page_faults,exit_code
2025-08-11T18:04:44-06:00,blackscholes,simlarge,4,baseline,1,0.22,185.01,<not supported>,<not supported>,<not supported>,<not supported>,530,36,93082,0
2025-08-11T18:04:45-06:00,blackscholes,simlarge,4,baseline,2,0.16,172.47,<not supported>,<not supported>,<not supported>,<not supported>,477,28,92906,0
2025-08-11T18:04:45-06:00,blackscholes,simlarge,4,baseline,3,0.18,185.28,<not supported>,<not supported>,<not supported>,<not supported>,567,38,92911,0
2025-08-11T18:04:45-06:00,blackscholes,simlarge,4,baseline,4,0.16,163.39,<not supported>,<not supported>,<not supported>,<not supported>,598,38,93113,0
2025-08-11T18:04:45-06:00,blackscholes,simlarge,4,baseline,5,0.18,188.20,<not supported>,<not supported>,<not supported>,<not supported>,556,38,92896,0
2025-08-11T18:04:45-06:00,blackscholes,simlarge,4,baseline,6,0.15,150.96,<not supported>,<not supported>,<not supported>,<not supported>,483,25,92884,0
2025-08-11T18:04:45-06:00,blackscholes,simlarge,4,baseline,7,0.15,156.55,<not supported>,<not supported>,<not supported>,<not supported>,515,37,92912,0
2025-08-11T18:04:46-06:00,blackscholes,simlarge,4,baseline,8,0.18,162.69,<not supported>,<not supported>,<not supported>,<not supported>,643,33,92878,0
2025-08-11T18:04:46-06:00,blackscholes,simlarge,4,baseline,9,0.17,171.03,<not supported>,<not supported>,<not supported>,<not supported>,581,29,93173,0
2025-08-11T18:04:46-06:00,blackscholes,simlarge,4,baseline,10,0.17,179.44,<not supported>,<not supported>,<not supported>,<not supported>,537,47,93196,0
2025-08-11T18:04:46-06:00,swaptions,simlarge,4,baseline,1,0.46,1251.86,<not supported>,<not supported>,<not supported>,<not supported>,857,44,92960,0
2025-08-11T18:04:47-06:00,swaptions,simlarge,4,baseline,2,0.56,1251.83,<not supported>,<not supported>,<not supported>,<not supported>,1396,27,92962,0
2025-08-11T18:04:47-06:00,swaptions,simlarge,4,baseline,3,0.44,1237.21,<not supported>,<not supported>,<not supported>,<not supported>,776,30,93115,0
2025-08-11T18:04:48-06:00,swaptions,simlarge,4,baseline,4,0.41,1234.28,<not supported>,<not supported>,<not supported>,<not supported>,1156,19,93194,0
2025-08-11T18:04:48-06:00,swaptions,simlarge,4,baseline,5,0.42,1235.55,<not supported>,<not supported>,<not supported>,<not supported>,1236,31,93519,0
2025-08-11T18:04:49-06:00,swaptions,simlarge,4,baseline,6,0.41,1245.42,<not supported>,<not supported>,<not supported>,<not supported>,1095,32,92954,0
2025-08-11T18:04:49-06:00,swaptions,simlarge,4,baseline,7,0.41,1257.00,<not supported>,<not supported>,<not supported>,<not supported>,1301,34,93813,0
2025-08-11T18:04:49-06:00,swaptions,simlarge,4,baseline,8,0.76,1864.31,<not supported>,<not supported>,<not supported>,<not supported>,1157,52,93012,0
2025-08-11T18:04:50-06:00,swaptions,simlarge,4,baseline,9,0.59,1273.75,<not supported>,<not supported>,<not supported>,<not supported>,1231,50,92976,0
2025-08-11T18:04:51-06:00,swaptions,simlarge,4,baseline,10,0.56,1255.06,<not supported>,<not supported>,<not supported>,<not supported>,1795,34,93010,0
2025-08-11T18:04:51-06:00,streamcluster,simlarge,4,baseline,1,0.83,2166.19,<not supported>,<not supported>,<not supported>,<not supported>,13283,134,94881,0
2025-08-11T18:04:52-06:00,streamcluster,simlarge,4,baseline,2,0.57,1622.68,<not supported>,<not supported>,<not supported>,<not supported>,4516,110,95531,0
2025-08-11T18:04:53-06:00,streamcluster,simlarge,4,baseline,3,0.53,1555.56,<not supported>,<not supported>,<not supported>,<not supported>,3176,104,94849,0
2025-08-11T18:04:53-06:00,streamcluster,simlarge,4,baseline,4,0.56,1634.23,<not supported>,<not supported>,<not supported>,<not supported>,5505,92,94723,0
2025-08-11T18:04:54-06:00,streamcluster,simlarge,4,baseline,5,0.53,1574.98,<not supported>,<not supported>,<not supported>,<not supported>,4373,92,95529,0
2025-08-11T18:04:54-06:00,streamcluster,simlarge,4,baseline,6,0.79,2092.37,<not supported>,<not supported>,<not supported>,<not supported>,7083,237,94878,0
2025-08-11T18:04:55-06:00,streamcluster,simlarge,4,baseline,7,0.56,1624.02,<not supported>,<not supported>,<not supported>,<not supported>,5820,102,94651,0
2025-08-11T18:04:56-06:00,streamcluster,simlarge,4,baseline,8,0.54,1601.61,<not supported>,<not supported>,<not supported>,<not supported>,5505,63,95221,0
2025-08-11T18:04:56-06:00,streamcluster,simlarge,4,baseline,9,0.67,1860.02,<not supported>,<not supported>,<not supported>,<not supported>,7790,198,94867,0
2025-08-11T18:04:57-06:00,streamcluster,simlarge,4,baseline,10,0.58,1665.36,<not supported>,<not supported>,<not supported>,<not supported>,6347,88,94710,0
2025-08-11T18:04:58-06:00,canneal,simlarge,4,baseline,1,0.21,120.75,<not supported>,<not supported>,<not supported>,<not supported>,469,43,92445,0
2025-08-11T18:04:58-06:00,canneal,simlarge,4,baseline,2,0.18,123.60,<not supported>,<not supported>,<not supported>,<not supported>,479,39,92641,0
2025-08-11T18:04:58-06:00,canneal,simlarge,4,baseline,3,0.19,119.70,<not supported>,<not supported>,<not supported>,<not supported>,481,35,92674,0
2025-08-11T18:04:58-06:00,canneal,simlarge,4,baseline,4,0.17,121.92,<not supported>,<not supported>,<not supported>,<not supported>,475,29,92506,0
2025-08-11T18:04:58-06:00,canneal,simlarge,4,baseline,5,0.18,121.15,<not supported>,<not supported>,<not supported>,<not supported>,469,35,92444,0
2025-08-11T18:04:59-06:00,canneal,simlarge,4,baseline,6,0.17,118.18,<not supported>,<not supported>,<not supported>,<not supported>,434,37,92428,0
2025-08-11T18:04:59-06:00,canneal,simlarge,4,baseline,7,0.16,115.90,<not supported>,<not supported>,<not supported>,<not supported>,500,28,92471,0
2025-08-11T18:04:59-06:00,canneal,simlarge,4,baseline,8,0.18,123.52,<not supported>,<not supported>,<not supported>,<not supported>,503,22,92697,0
2025-08-11T18:04:59-06:00,canneal,simlarge,4,baseline,9,0.18,130.00,<not supported>,<not supported>,<not supported>,<not supported>,487,40,92427,0
2025-08-11T18:04:59-06:00,canneal,simlarge,4,baseline,10,0.20,125.08,<not supported>,<not supported>,<not supported>,<not supported>,447,30,92426,0
